Stock,sgRNA,COG,Gene,Old,KEGG,Condition,mumax,mumax_minusRha,Gen Time,Depletion_per,Dep,D/CR,D/EP,D/mumaxminusR,D/mumaxplusR,minusRmumax/CR,minusRmumax/EP,plusRmumax/CR,plusRmumax/EP,mumax_plusRha,CRISPRRater_Score_real,Rank_CR,CRISPR Efficiency Predictor,Rank_EP,(1-Dep)/CR,(1-Dep)/EP,1-DCR,1-DEP,Lag Time,Spike,S,SpikeN,Unnamed: 33,Dep_Per*coeff,mumax_plusRha*coeff,Lag Time*coeff,Sum,Intercept,Predicted Spike_DML,Predicted Spike_ML,mumax_plusRha*coeff.1,Lag Time*coeff.1,Sum.1,Unnamed: 44,Dep_Per*coeff.1,mumax_plusRha*coeff.2,Lag Time*coeff.2,Sum.2,GLM_Predicted Spike_DML,Unnamed: 50,Depletion_mumaxplusrha_lagtime,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Predicted_Depletion_per,Predicted_Depletion_per_Polynomial
,1570,T,universal stress protein A,universal stress protein A,Others,(-) Rhamnose,0.790447969,0.790447969,1.580484169,7.444779097,0.074447791,0.098306178,0.009803463,0.094184303,0.440158603,1.043763933,0.104088076,0.223342627,0.022272569,0.169138557,0.75730531,91,7.59403,56,1.222165218,0.121878925,0.901693822,0.990196537,12.06660352,1X,1,1,,0.262056224,-0.09053987,1.116160826,1.28767718,,0.93297718,,-0.09053987,1.116160826,1.025620956,,0.141450803,0.039984355,0.10377279,0.285207948,-0.367892052,,const        ,1.6116,0.348,4.632,0,21.875300012590014,4.231096574878687
,1559,O,molecular chaperone GroES,molecular chaperone GroES,Chaperones and folding catalysts,(-) Rhamnose,0.790447969,0.790447969,1.556349302,24.38258142,0.243825814,0.356155086,0.068102823,0.308465356,1.344066038,1.154603195,0.220779488,0.264983324,0.050669254,0.181409103,0.684605735,240,3.58026,496,1.10453966,0.211206501,0.643844914,0.931897177,18.05701943,1X,1,1,,0.858266866,-0.097108293,1.670274297,2.43143287,,2.07673287,,-0.097108293,1.670274297,1.573166004,,0.463269047,0.042885112,0.155290367,0.661444526,0.008344526,,mumax_plusRha,-0.5353,0.462,-1.158,0.247,39.43333902139998,6.253121969639914
,1602,,0,,Others,(-) Rhamnose,0.790447969,0.790447969,1.541057494,86.59746123,0.865974612,1.020598855,0.127202177,1.095549165,7.757193481,0.931586539,0.116108141,0.131568055,0.016397964,0.111635041,0.848496555,9,6.80786,120,0.157956313,0.01968686,-0.020598855,0.872797823,13.82199937,1X,1,5,,3.048230635,-0.059758237,1.278534942,4.26700734,,3.91230734,,-0.059758237,1.278534942,1.218776704,,1.645351763,0.026390524,0.118869195,1.790611482,1.137511482,,Lag Time     ,0.0925,0.02,4.592,0,81.7715443006999,4.564944484633647
,1572,Q,short-chain dehydrogenase,short-chain dehydrogenase,Others,(-) Rhamnose,0.790447969,0.790447969,1.534206349,45.95075389,0.459507539,0.630587069,0.078656938,0.581325472,2.711084169,1.08474013,0.135306195,0.232595902,0.029013093,0.16949217,0.728698005,149,5.84192,237,0.741723536,0.092519662,0.369412931,0.921343062,15.02920178,1X,1,1,,1.617466537,-0.090729159,1.390201165,2.916938543,,2.562238543,,-0.090729159,1.390201165,1.299472006,,0.873064324,0.040067949,0.129251135,1.042383408,0.389283408,,Regression Equation: SpikeN = 1.6116 + -0.5353 * mumax_plusRha + 0.0925 * Lag Time,,,,,43.017264954480055,5.19986184043427
,1577,E,urea transporter,urea transporter,Others,(-) Rhamnose,0.790447969,0.790447969,1.521763626,54.8117833,0.548117833,0.678362009,0.073833908,0.693426834,3.170815183,0.978274816,0.106476855,0.213939309,0.023285466,0.172863381,0.80800196,29,7.42366,66,0.559258751,0.060870537,0.321637991,0.926166092,16.27965915,1X,1,1,,1.929374772,-0.092533768,1.505868471,3.342709476,,2.988009476,,-0.092533768,1.505868471,1.413334704,,1.041423883,0.040864903,0.140005069,1.222293855,0.569193855,,,,,,,60.98475216346994,5.624688073008315
,1605,M,cell division protein,cell division protein,beta-Lactam resistance,(-) Rhamnose,0.790447969,0.790447969,1.516751181,52.45345862,0.524534586,0.894120412,0.126932191,0.663591541,6.252240496,1.347395734,0.191280604,0.143008,0.020301873,0.083895459,0.58664871,449,4.1324,458,0.810477217,0.115057936,0.105879588,0.873067809,17.38193322,1X,1,1,,1.846361743,-0.044909239,1.607828823,3.409281327,,3.054581327,,-0.044909239,1.607828823,1.562919584,,0.996615714,0.019832887,0.149484626,1.165933226,0.512833226,,,,,,,65.63475526839997,5.522073477214937
,1591,D,chromosome partitioning protein,chromosome partitioning protein,Others,(-) Rhamnose,0.790447969,0.790447969,1.516469476,70.90140845,0.709014085,1.015178085,0.11014427,0.896977552,4.784698639,1.131776467,0.122794901,0.212171792,0.023020106,0.148183645,0.698413505,211,6.43714,151,0.416638443,0.045204224,-0.015178085,0.88985573,11.2580748,2X,2,2,,2.495729577,-0.079322705,1.041371919,3.457778791,,3.103078791,,-0.079322705,1.041371919,0.962049214,,1.347126761,0.035030614,0.096819443,1.478976818,0.825876818,,          Generalized Linear Model Regression Results           ,,,,,56.006529683640075,3.8958429958349945
,1557,H,4-hydroxybenzoate polyprenyl transferase,4-hydroxybenzoate polyprenyl transferase,Biosynthesis of secondary metabolites,(-) Rhamnose,0.790447969,0.790447969,1.515788305,51.2704729,0.512704729,1.002449652,0.109123493,0.648625525,2.925282393,1.545498308,0.168238049,0.342684745,0.037303576,0.175266747,0.51145185,498,4.69839,391,0.952768615,0.103715373,-0.002449652,0.890876507,15.10937844,1X,1,1,,1.804720646,-0.09382029,1.397617506,3.108517862,,2.753817862,,-0.09382029,1.397617506,1.303797216,,0.974138985,0.041433059,0.129940655,1.145512699,0.492412699,,             ,   coef   , std err ,    z    ,,48.45226920610002,5.252263323308061
,1571,,lipoprotein,lipoprotein,Others,(-) Rhamnose,0.790447969,0.790447969,1.508657113,17.0,0.17,0.214739898,0.030681158,0.215067919,1.256436112,0.998474802,0.142657993,0.170911912,0.024419194,0.135303338,0.7916554,50,5.54086,273,1.048435974,0.149796241,0.785260102,0.969318842,14.91526534,1X,1,1,,0.5984,-0.072427877,1.379662044,1.905634167,,1.550934167,,-0.072427877,1.379662044,1.307234167,,0.323,0.031985709,0.128271282,0.483256991,-0.169843009,,const        ,-0.6531,0.156,-4.198,,42.54342760256997,5.009385100238331
,1592,L,uracil-DNA glycosylase,uracil-DNA glycosylase,Base excision repair,(-) Rhamnose,0.790447969,0.790447969,1.508656092,39.57275664,0.395727566,0.534581377,0.067044742,0.500637084,2.671841732,1.067802194,0.133918849,0.200079732,0.025093081,0.148110407,0.740256925,128,5.90244,233,0.816300953,0.102376718,0.465418623,0.932955258,7.447317416,1X,1,1,,1.392961034,-0.079283501,0.688876861,2.002554394,,1.647854394,,-0.079283501,0.688876861,0.60959336,,0.751882376,0.0350133,0.06404693,0.850942606,0.197842606,,Depletion_per,0.019,0.001,18.334,,39.98846765550004,2.6752087651849217
,1556,S,iron--sulfur cluster insertion protein ErpA,iron--sulfur cluster insertion protein ErpA,Others,(-) Rhamnose,0.720193909,0.720193909,1.490548455,82.75242158,0.827524216,1.147696747,0.155428711,1.149029734,7.01508754,0.998839902,0.135269529,0.163604052,0.022156347,0.117963491,0.721030375,163,5.32414,304,0.239207376,0.03239505,-0.147696747,0.844571289,9.482127636,1X,1,5,,2.91288524,-0.063145857,0.877096806,3.726836189,,3.372136189,,-0.063145857,0.877096806,0.81395095,,1.57229601,0.027886569,0.081546298,1.681728877,1.028628877,,mumax_plusRha,0.2364,0.189,1.251,,62.29080243970006,3.2400890273701015
,1580,,lytic transglycosylase,lytic transglycosylase,Bacterial secretion system,(-) Rhamnose,0.720193909,0.720193909,1.487892495,54.29099871,0.542909987,0.799910087,0.076326979,0.753838626,4.042002243,1.061115814,0.101251086,0.197899467,0.018883458,0.134317092,0.678713765,252,7.11295,88,0.673465069,0.064261665,0.200089913,0.923673021,13.03151091,1X,1,1,,1.911043155,-0.071899939,1.205414759,3.044557974,,2.689857974,,-0.071899939,1.205414759,1.13351482,,1.031528975,0.031752561,0.112070994,1.17535253,0.52225253,,Lag Time     ,0.0086,0.008,1.139,,48.21007327087004,4.409372194458511
,1595,,general secretion pathway protein GspC,general secretion pathway protein GspC,Bacterial secretion system,(-) Rhamnose,0.720193909,0.720193909,1.477060674,0.0,0.0,0.0,0.0,0.0,0.0,1.247582015,0.130604538,0.204866794,0.021446713,0.118263822,0.577271795,456,5.51431,277,1.732286262,0.181346352,1.0,1.0,5.0,1X,1,1,,0.0,-0.063306624,0.4625,0.399193376,,0.044493376,,-0.063306624,0.4625,0.399193376,,0.0,0.027957568,0.043,0.070957568,-0.582142432,,Regression Equation: SpikeN = -0.6531 + 0.0190 * Depletion_per + 0.2364 * mumax_plusRha + 0.0086 * Lag Time,,,,,26.4873821009,1.8450834082670424
,1587,H,D-2-hydroxyacid dehydrogenase,D-2-hydroxyacid dehydrogenase,"Glycine, serine and threonine metabolism",(-) Rhamnose,0.720193909,0.720193909,1.470348172,14.44136622,0.144413662,0.19785476,0.023040934,0.200520527,0.89356447,0.986705766,0.114905613,0.22142192,0.025785419,0.161615269,0.729897335,144,6.2677,167,1.172200934,0.136507226,0.80214524,0.976959066,19.14774795,1X,1,1,,0.508336091,-0.086512653,1.771166685,2.192990123,,1.838290123,,-0.086512653,1.771166685,1.684654032,,0.274385958,0.03820585,0.164670632,0.47726244,-0.17583756,,,,,,,41.53298158759998,6.499669139519781
,1198,,0,,,(-) Rhamnose,0.6980274,0.6980274,0.431215164,0.0,0.0,4.0,0.166666667,1.432608519,1.592814774,2.7921096,0.1163379,2.51127756,0.104636565,0.7081939,0.25,515,6.0,219,0.0,0.0,-3.0,0.833333333,5.0,1X,1,1,,3.52,-0.336071719,0.4625,3.646428281,,3.291728281,,-0.336071719,0.4625,0.126428281,,1.9,0.148416504,0.043,2.091416504,1.438316504,,,,,,,13.847552698779994,2.761771468388784
,1555,J,50S ribosomal protein L13,50S ribosomal protein L13,Ribosome biogenesis,(-) Rhamnose,0.720193909,0.720193909,1.443564639,97.021306,0.97021306,1.286907264,0.157929761,1.347155326,7.593169883,0.955277569,0.117232036,0.169482217,0.020798924,0.127774444,0.753910625,99,6.14332,180,0.039509909,0.004848671,-0.286907264,0.842070239,19.5119966,1X,1,1,,3.415149971,-0.06839766,1.804859686,5.151611997,,4.796911997,,-0.06839766,1.804859686,1.736462026,,1.843404814,0.030205879,0.167803171,2.041413863,1.388313863,,,,,,,83.14509946089993,6.420108842803503
,1584,,0,,Others,(-) Rhamnose,0.720193909,0.720193909,1.440292704,5.523862087,0.055238621,0.075096551,0.012095113,0.07669965,0.323207499,0.979099008,0.157694494,0.2323478,0.037422128,0.170907609,0.73556801,137,4.56702,410,1.284397046,0.206866048,0.924903449,0.987904887,13.06819747,1X,1,1,,0.194439945,-0.091486843,1.208808266,1.311761368,,0.957061368,,-0.091486843,1.208808266,1.117321423,,0.10495338,0.040402559,0.112386498,0.257742437,-0.395357563,,,,,,,18.804550695939998,4.565041761105405
,1603,S,twitching motility protein PilT,twitching motility protein PilT,Others,(-) Rhamnose,0.720193909,0.720193909,1.432705754,28.48144365,0.284814436,0.359543082,0.044188106,0.395469099,1.623485619,0.909155944,0.111735926,0.221463669,0.027218046,0.175433914,0.79215663,46,6.4455,150,0.902833526,0.110958896,0.640456918,0.955811894,10.23513915,1X,1,1,,1.002546816,-0.093909774,0.946750371,1.855387414,,1.500687414,,-0.093909774,0.946750371,0.852840597,,0.541147429,0.041472577,0.088022197,0.670642203,0.017542203,,,,,,,40.01758222124004,3.6527161314786456
,1576,S,transglycosylase,transglycosylase,Others,(-) Rhamnose,0.720193909,0.720193909,1.431368494,0.0,0.0,0.0,0.0,0.0,0.0,1.05922367,0.101629,0.234229055,0.022473501,0.159258468,0.679926185,248,7.0865,92,1.470747887,0.141113385,1.0,1.0,15.92624751,1X,1,1,,0.0,-0.085251058,1.473177895,1.387926837,,1.033226837,,-0.085251058,1.473177895,1.387926837,,0.0,0.037648702,0.136965729,0.17461443,-0.47848557,,,,,,,21.5377639855,5.443870287727797
,1583,,hypothetical protein,hypothetical protein,Others,(-) Rhamnose,0.720193909,0.720193909,1.427900173,0.0,0.0,0.0,0.0,0.0,0.0,0.997032535,0.221104892,0.234685957,0.052044654,0.169522449,0.72233742,156,3.25725,508,1.384394567,0.307007445,1.0,1.0,9.796937003,1X,1,1,,0.0,-0.090745367,0.906216673,0.815471306,,0.460771306,,-0.090745367,0.906216673,0.815471306,,0.0,0.040075107,0.084253658,0.124328765,-0.528771235,,,,,,,21.62862236134,3.4912830974949927
,1560,L,Holliday junction DNA helicase,Holliday junction DNA helicase,Ribosome biogenesis,(-) Rhamnose,0.772120134,0.772120134,1.419721322,55.92355121,0.559235512,0.831752497,0.100617577,0.724285622,3.406986266,1.148376375,0.138919749,0.24413145,0.029532722,0.164143753,0.67235808,272,5.55803,269,0.655550221,0.079302287,0.168247503,0.899382423,9.960205702,1X,1,1,,1.968509003,-0.087866151,0.921319027,2.801961879,,2.447261879,,-0.087866151,0.921319027,0.833452876,,1.062547473,0.038803583,0.085657769,1.187008825,0.533908825,,,,,,,50.79212279963999,3.5283627708845864
,1566,F,guanylate kinase,guanylate kinase,Purine metabolism,(-) Rhamnose,0.772120134,0.772120134,1.41883022,44.64551323,0.446455132,0.633233224,0.103309985,0.578219778,2.971436549,1.095142797,0.178669061,0.213106763,0.03476769,0.15024892,0.7050406,194,4.32151,443,0.785124811,0.128090614,0.366766776,0.896690015,15.28797167,1X,1,1,,1.571522066,-0.080428247,1.414137379,2.905231198,,2.550531198,,-0.080428247,1.414137379,1.333709133,,0.848264751,0.035518845,0.131476556,1.015260152,0.362160152,,,,,,,40.369750112269934,5.195980121034983
,1565,D,cell division topological specificity factor,cell division topological specificity factor,Chromosome and associated proteins,(-) Rhamnose,0.772120134,0.772120134,1.410196217,3.5,0.035,0.055548638,0.007886169,0.045329734,0.244845956,1.2254349,0.17397342,0.226871779,0.032208695,0.142947021,0.63007846,369,4.43815,431,1.531555292,0.217432939,0.944451362,0.992113831,18.46199728,1X,1,1,,0.1232,-0.07651954,1.707734748,1.754415208,,1.399715208,,-0.07651954,1.707734748,1.631215208,,0.0665,0.033792676,0.158773177,0.259065852,-0.394034148,,,,,,,33.36939207500001,6.174073463443069
,1563,M,glycosyl transferase family 1,glycosyl transferase family 1,Lipopolysaccharide biosynthesis,(-) Rhamnose,0.772120134,0.772120134,1.391590367,71.66571537,0.716657154,1.363427119,0.103753287,0.928167939,4.301570275,1.468944425,0.111782882,0.316960327,0.024119863,0.166603614,0.525629235,492,6.90732,112,0.53905458,0.041020663,-0.363427119,0.896246713,19.33356947,3X,3,3,,2.522633181,-0.089182915,1.788355176,4.221805442,,3.867105442,,-0.089182915,1.788355176,1.699172261,,1.361648592,0.039385094,0.166268697,1.567302384,0.914202384,,,,,,,64.23196596229991,6.588793161063148
,1581,K,LysR family transcriptional regulator,LysR family transcriptional regulator,,(-) Rhamnose,0.772120134,0.772120134,1.389800404,49.73250048,0.497325005,0.752851921,0.101493449,0.644103142,2.828082373,1.168837522,0.157573287,0.266205797,0.035887727,0.175852376,0.66058808,295,4.90007,367,0.76095075,0.102585268,0.247148079,0.898506551,18.76873134,1X,1,1,,1.750584017,-0.094133777,1.736107649,3.392557889,,3.037857889,,-0.094133777,1.736107649,1.641973872,,0.944917509,0.041571502,0.16141109,1.1479001,0.4948001,,,,,,,50.79314165310003,6.456810364005058
,1590,,hypothetical protein,hypothetical protein,Others,(-) Rhamnose,0.772120134,0.772120134,1.388502976,43.8750089,0.438750089,0.701603086,0.09797881,0.568240704,3.550313987,1.234693467,0.172424835,0.197617193,0.027597224,0.123580644,0.625353705,373,4.47801,426,0.897491942,0.125334671,0.298396914,0.90202119,11.22472238,1X,1,1,,1.544400313,-0.066152719,1.03828682,2.516534415,,2.161834415,,-0.066152719,1.03828682,0.972134101,,0.833625169,0.029214464,0.096532612,0.959372246,0.306272246,,,,,,,38.27121508530001,3.8016888082666322
,1586,,0,,Others,(-) Rhamnose,0.772120134,0.772120134,1.380990239,0.0,0.0,0.0,0.0,0.0,0.0,1.120146035,0.106784185,0.209882959,0.020008267,0.144672974,0.6893031,231,7.23066,82,1.45074061,0.138299962,1.0,1.0,11.28327539,1X,1,1,,0.0,-0.077443443,1.043702974,0.966259531,,0.611559531,,-0.077443443,1.043702974,0.966259531,,0.0,0.034200691,0.097036168,0.131236859,-0.521863141,,,,,,,18.165184482669993,3.891942321918093
,1568,I,farnesyl-diphosphate farnesyltransferase,farnesyl-diphosphate farnesyltransferase,Biosynthesis of secondary metabolites/cofactors,(-) Rhamnose,0.772120134,0.772120134,1.379239868,68.58230745,0.685823074,1.316531228,0.152219758,0.888233636,4.933459733,1.482190242,0.171373557,0.266857601,0.030854566,0.139014629,0.52093187,494,4.50548,423,0.603105595,0.069732176,-0.316531228,0.847780242,15.94638305,1X,1,1,,2.414097222,-0.074414531,1.475040432,3.814723123,,3.460023123,,-0.074414531,1.475040432,1.400625901,,1.303063842,0.032863058,0.137138894,1.473065794,0.819965794,,,,,,,59.54338391500004,5.353464974139614
,1589,,hypothetical protein,hypothetical protein,Others,(-) Rhamnose,0.772120134,0.772120134,1.365351915,83.1300813,0.831300813,1.596928715,0.195065482,1.076646983,4.903586997,1.483242642,0.181178683,0.325665419,0.039780161,0.169529125,0.520562255,495,4.26165,447,0.324071108,0.039585416,-0.596928715,0.804934518,16.08165407,2X,2,2,,2.926178862,-0.090748941,1.487553001,4.322982923,,3.968282923,,-0.090748941,1.487553001,1.396804061,,1.579471545,0.040076685,0.138302225,1.757850455,1.104750455,,,,,,,68.9965833825699,5.543733150286487
,1562,G,phosphoglucomutase,phosphoglucomutase,Amino sugar and nucleotide sugar metabolism,(-) Rhamnose,0.772120134,0.772120134,1.364670911,65.34234996,0.6534235,0.933004657,0.109643094,0.846271805,3.363478344,1.102488174,0.12956014,0.277392794,0.032598127,0.194270167,0.700343235,204,5.95955,228,0.494866636,0.05815481,0.066995343,0.890356906,14.40212346,3X,3,3,,2.300050719,-0.10399282,1.33219642,3.528254318,,3.173554318,,-0.10399282,1.33219642,1.2282036,,1.241504649,0.045925467,0.123858262,1.411288378,0.758188378,,,,,,,64.57815065010001,5.102404859462405
,1593,H,glutamyl-tRNA reductase,glutamyl-tRNA reductase,Biosynthesis of secondary metabolites,(-) Rhamnose,0.772120134,0.772120134,1.352029163,59.9619334,0.599619334,0.784328797,0.11508169,0.776588133,4.98800724,1.009967528,0.148188834,0.157242915,0.023071677,0.120212202,0.76449996,78,5.21038,323,0.523715745,0.076842892,0.215671203,0.88491831,18.34374985,1X,1,1,,2.110660056,-0.064349592,1.696796861,3.743107325,,3.388407325,,-0.064349592,1.696796861,1.632447269,,1.139276735,0.028418165,0.157756249,1.325451148,0.672351148,,,,,,,53.929795383899965,6.011438276175007
,1582,M,0,,,(-) Rhamnose,0.772120134,0.772120134,1.345692928,100.0,1.0,1.584699109,0.159659733,1.295135246,4.431547224,1.223578089,0.123276495,0.357594995,0.036027989,0.225654822,0.63103462,363,6.26332,169,0.0,0.0,-0.584699109,0.840340267,7.665487742,5X,5,5,,3.52,-0.120793026,0.709057616,4.10826459,,3.75356459,,-0.120793026,0.709057616,0.58826459,,1.9,0.0533448,0.065923195,2.019267995,1.366167995,,,,,,,91.03406429179996,2.926633545469596
,1574,H,uroporphyrin-III C-methyltransferase,uroporphyrin-III C-methyltransferase,Biosynthesis of secondary metabolites,(-) Rhamnose,0.772120134,0.772120134,1.329641882,60.2337759,0.602337759,0.803554869,0.076398373,0.780108861,4.599424052,1.030054789,0.097932964,0.174707716,0.016610422,0.130959388,0.749591325,112,7.88417,40,0.530505394,0.05043806,0.196445131,0.923601627,12.05281284,1X,1,1,,2.120228912,-0.07010256,1.114885188,3.165011539,,2.810311539,,-0.07010256,1.114885188,1.044782627,,1.144441742,0.030958799,0.10365419,1.279054732,0.625954732,,,,,,,51.50784886260005,4.087721343888995
,1561,M,"dTDP-glucose 4,6-dehydratase","dTDP-glucose 4,6-dehydratase",Acarbose and validamycin biosynthesis,(-) Rhamnose,0.752265759,0.752265759,1.328473375,26.12747029,0.261274703,0.431919428,0.042031122,0.347317022,1.416919506,1.243588425,0.121016592,0.304829898,0.029663733,0.184396292,0.604915375,411,6.21622,173,1.221204366,0.118838345,0.568080572,0.957968878,12.44258686,1X,1,1,,0.919686954,-0.098707335,1.150939285,1.971918904,,1.617218904,,-0.098707335,1.150939285,1.052231949,,0.496421936,0.043591283,0.107006247,0.647019466,-0.006080534,,,,,,,31.022135700320014,4.411095311589815
