#sgRNA,Time,Rep1,Rep1,Avg1,Avg,SD,Condition,Strain,Other Name,sgRNA,ss,,sgRNA_#,Gene,Product,Locus Tag,EG,K56-2_Locus_Tag,Stock,Stock2,Leg,Leg2,Legend,Pathway,COG,COD ID
1971,13,1.20525,1.23925,1.18225,1.22225,0.024041631,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1972,14,1.23825,1.28625,1.24625,1.28625,0.033941125,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1973,15,1.25525,1.31225,1.27225,1.31225,0.040305087,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1974,16,1.26125,1.32325,1.28325,1.32325,0.04384062,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1975,17,1.25825,1.32725,1.28725,1.32725,0.048790368,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1976,18,1.24525,1.32325,1.28325,1.32325,0.036062446,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1977,19,1.21525,1.32325,1.28325,1.32325,0.038890873,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1977,20,1.21525,1.32325,1.28325,1.32325,0.038890873,(+) Rhamnose,,K56-2 WT,K56-2 WT,K56-2 WT,_,K56-2 WT,K56-2 WT,K56-2 WT,,K56-2 WT,K56-2 WT,1,1,(,),K56-2 WT(1),#N/A,#N/A,#N/A
1978,0,0.00925,0.00625,0.00775,0.00775,0.00212132,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1979,1,0.01025,0.00825,0.00875,0.00875,0.001414214,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1980,2,0.01325,0.01025,0.01125,0.01125,0.001414214,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1981,3,0.02025,0.01425,0.02075,0.02075,0.000707107,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1982,4,0.02325,0.02125,0.02225,0.02225,0.001414214,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1983,5,0.04025,0.03825,0.03925,0.03925,0.001414214,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1984,6,0.07325,0.07125,0.07225,0.07225,0.001414214,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1985,7,0.13825,0.13665,0.13745,0.13745,0.001131371,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1986,8,0.26525,0.26025,0.26275,0.26275,0.003535534,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1987,9,0.47725,0.47325,0.47525,0.47525,0.002828427,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1988,10,0.71125,0.71925,0.71525,0.71525,0.005656854,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1989,11,0.87325,0.88425,0.87875,0.87875,0.007778175,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1990,12,0.99125,1.00225,0.99675,0.99675,0.007778175,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1991,13,1.08425,1.09325,1.08875,1.08875,0.006363961,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1992,14,1.14925,1.16325,1.15625,1.15625,0.009899495,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1993,15,1.18425,1.20325,1.19375,1.19375,0.013435029,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1994,16,1.18225,1.21025,1.19625,1.19625,0.01979899,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1995,17,1.17625,1.21425,1.19525,1.19525,0.026870058,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1996,18,1.18225,1.21225,1.19725,1.19725,0.021213203,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1997,19,1.16125,1.20625,1.18375,1.18375,0.031819805,(+) Rhamnose,,pZR15,1198,pZR15,_,1198_pZR15,pZR15,pZR15,,pZR15,pZR15,80,80,(,),1198(80),#N/A,#N/A,#N/A
1998,0,0.00725,0.00725,0.00725,0.00725,0,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
1999,1,0.00825,0.00925,0.00875,0.00875,0.000707107,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
2000,2,0.01325,0.01025,0.01025,0.01025,0,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
2001,3,0.02025,0.01425,0.02075,0.02075,0,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
2002,4,0.02025,0.02025,0.02025,0.02025,0,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
2003,5,0.02725,0.02725,0.02725,0.02725,0,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
2004,6,0.03725,0.03725,0.03725,0.03725,0,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
2005,7,0.04625,0.04725,0.04675,0.04675,0.000707107,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
2006,8,0.05625,0.05725,0.05675,0.05675,0.000707107,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
2007,9,0.06825,0.06925,0.06875,0.06875,0.000707107,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
2008,10,0.08225,0.08225,0.08225,0.08225,0,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
2009,11,0.09625,0.09725,0.09675,0.09675,0.000707107,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
2010,12,0.11225,0.11225,0.11225,0.11225,0,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
2011,13,0.13025,0.13025,0.13025,0.13025,0,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
2012,14,0.14825,0.14925,0.14875,0.14875,0.000707107,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
2013,15,0.17125,0.17325,0.17225,0.17225,0.001414214,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
2014,16,0.20025,0.20325,0.20175,0.20175,0.00212132,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
2015,17,0.23725,0.24125,0.23925,0.23925,0.002828427,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
2016,18,0.28225,0.28825,0.28525,0.28525,0.004242641,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
2017,19,0.33225,0.34425,0.33825,0.33825,0.008485281,(+) Rhamnose,,pZR41_1,1362,CRISPRi Mutants,_,1362_pZR41_1,F0F1 ATP synthase Operon,ATP synthase subunit A,,WQ49_RS12990,K562_RS00155,39,39,(,),1362(39),Metabolic pathways,C,COG0356
2018,0,0.01025,0.00825,0.00925,0.00925,0.001414214,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2019,1,0.00725,0.00925,0.00875,0.00875,0.001414214,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2020,2,0.01325,0.01025,0.00925,0.00925,0.001414214,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2021,3,0.02025,0.01425,0.02075,0.02075,0.001414214,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2022,4,0.01825,0.02125,0.01975,0.01975,0.00212132,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2023,5,0.02625,0.02925,0.02775,0.02775,0.00212132,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2026,6,0.03525,0.03825,0.03675,0.03675,0.00212132,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2027,7,0.04425,0.04825,0.04625,0.04625,0.002828427,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2028,8,0.05525,0.05925,0.05725,0.05725,0.002828427,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2029,9,0.06525,0.07125,0.06825,0.06825,0.004242641,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2030,10,0.07825,0.08425,0.08125,0.08125,0.004242641,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2031,11,0.09025,0.09725,0.09375,0.09375,0.004949747,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2032,12,0.10325,0.11125,0.10725,0.10725,0.005656854,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2033,13,0.11725,0.12525,0.12125,0.12125,0.005656854,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2034,14,0.12925,0.13925,0.13425,0.13425,0.007071068,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2035,15,0.14325,0.15325,0.14825,0.14825,0.007071068,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2036,16,0.15925,0.16925,0.16425,0.16425,0.007071068,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2037,17,0.17725,0.18925,0.18325,0.18325,0.008485281,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2038,18,0.19825,0.21125,0.20475,0.20475,0.009192388,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2039,19,0.22225,0.23525,0.22875,0.22875,0.009192388,(+) Rhamnose,,pZR41_2,1363,CRISPRi Mutants,_,1363_pZR41_2,F0F1 ATP synthase Operon,F0F1 ATP synthase subunit C,,WQ49_RS12995,K562_RS00160,41,41,(,),1363(41),Metabolic pathways,C,COG0636
2040,0,0.00625,0.00625,0.00625,0.00625,0,(+) Rhamnose,,pZR41_3,1364,CRISPRi Mutants,_,1364_pZR41_3,F0F1 ATP synthase Operon,ATP synthase subunit b,,WQ49_RS13000,K562_RS00165,43,43,(,),1364(43),Metabolic pathways,C,COG0711
2041,1,0.00725,0.00725,0.00875,0.00875,0,(+) Rhamnose,,pZR41_3,1364,CRISPRi Mutants,_,1364_pZR41_3,F0F1 ATP synthase Operon,ATP synthase subunit b,,WQ49_RS13000,K562_RS00165,43,43,(,),1364(43),Metabolic pathways,C,COG0711
2042,2,0.01325,0.00925,0.00925,0.00925,0,(+) Rhamnose,,pZR41_3,1364,CRISPRi Mutants,_,1364_pZR41_3,F0F1 ATP synthase Operon,ATP synthase subunit b,,WQ49_RS13000,K562_RS00165,43,43,(,),1364(43),Metabolic pathways,C,COG0711
2043,3,0.02025,0.01525,0.02075,0.02075,0,(+) Rhamnose,,pZR41_3,1364,CRISPRi Mutants,_,1364_pZR41_3,F0F1 ATP synthase Operon,ATP synthase subunit b,,WQ49_RS13000,K562_RS00165,43,43,(,),1364(43),Metabolic pathways,C,COG0711
2044,4,0.02625,0.02625,0.02625,0.02625,0,(+) Rhamnose,,pZR41_3,1364,CRISPRi Mutants,_,1364_pZR41_3,F0F1 ATP synthase Operon,ATP synthase subunit b,,WQ49_RS13000,K562_RS00165,43,43,(,),1364(43),Metabolic pathways,C,COG0711
2045,5,0.04925,0.04825,0.04875,0.04875,0.000707107,(+) Rhamnose,,pZR41_3,1364,CRISPRi Mutants,_,1364_pZR41_3,F0F1 ATP synthase Operon,ATP synthase subunit b,,WQ49_RS13000,K562_RS00165,43,43,(,),1364(43),Metabolic pathways,C,COG0711
2046,6,0.09325,0.09225,0.09275,0.09275,0.000707107,(+) Rhamnose,,pZR41_3,1364,CRISPRi Mutants,_,1364_pZR41_3,F0F1 ATP synthase Operon,ATP synthase subunit b,,WQ49_RS13000,K562_RS00165,43,43,(,),1364(43),Metabolic pathways,C,COG0711
2047,7,0.17625,0.17525,0.17575,0.17575,0.000707107,(+) Rhamnose,,pZR41_3,1364,CRISPRi Mutants,_,1364_pZR41_3,F0F1 ATP synthase Operon,ATP synthase subunit b,,WQ49_RS13000,K562_RS00165,43,43,(,),1364(43),Metabolic pathways,C,COG0711
2048,8,0.32425,0.32125,0.32275,0.32275,0.00212132,(+) Rhamnose,,pZR41_3,1364,CRISPRi Mutants,_,1364_pZR41_3,F0F1 ATP synthase Operon,ATP synthase subunit b,,WQ49_RS13000,K562_RS00165,43,43,(,),1364(43),Metabolic pathways,C,COG0711
2049,9,0.54225,0.53825,0.54025,0.54025,0.002828427,(+) Rhamnose,,pZR41_3,1364,CRISPRi Mutants,_,1364_pZR41_3,F0F1 ATP synthase Operon,ATP synthase subunit b,,WQ49_RS13000,K562_RS00165,43,43,(,),1364(43),Metabolic pathways,C,COG0711
2050,10,0.73925,0.73325,0.73625,0.73625,0.004242641,(+) Rhamnose,,pZR41_3,1364,CRISPRi Mutants,_,1364_pZR41_3,F0F1 ATP synthase Operon,ATP synthase subunit b,,WQ49_RS13000,K562_RS00165,43,43,(,),1364(43),Metabolic pathways,C,COG0711
2051,11,0.87225,0.86325,0.86775,0.86775,0.006363961,(+) Rhamnose,,pZR41_3,1364,CRISPRi Mutants,_,1364_pZR41_3,F0F1 ATP synthase Operon,ATP synthase subunit b,,WQ49_RS13000,K562_RS00165,43,43,(,),1364(43),Metabolic pathways,C,COG0711
2052,12,0.97625,0.96525,0.97075,0.97075,0.007778175,(+) Rhamnose,,pZR41_3,1364,CRISPRi Mutants,_,1364_pZR41_3,F0F1 ATP synthase Operon,ATP synthase subunit b,,WQ49_RS13000,K562_RS00165,43,43,(,),1364(43),Metabolic pathways,C,COG0711
2053,13,1.06125,1.04925,1.05525,1.05525,0.008485281,(+) Rhamnose,,pZR41_3,1364,CRISPRi Mutants,_,1364_pZR41_3,F0F1 ATP synthase Operon,ATP synthase subunit b,,WQ49_RS13000,K562_RS00165,43,43,(,),1364(43),Metabolic pathways,C,COG0711
2054,14,1.12525,1.11425,1.11975,1.11975,0.007778175,(+) Rhamnose,,pZR41_3,1364,CRISPRi Mutants,_,1364_pZR41_3,F0F1 ATP synthase Operon,ATP synthase subunit b,,WQ49_RS13000,K562_RS00165,43,43,(,),1364(43),Metabolic pathways,C,COG0711
2055,15,1.16425,1.15425,1.15925,1.15925,0.007071068,(+) Rhamnose,,pZR41_3,1364,CRISPRi Mutants,_,1364_pZR41_3,F0F1 ATP synthase Operon,ATP synthase subunit b,,WQ49_RS13000,K562_RS00165,43,43,(,),1364(43),Metabolic pathways,C,COG0711
2056,16,1.18525,1.17825,1.18175,1.18175,0.004949747,(+) Rhamnose,,pZR41_3,1364,CRISPRi Mutants,_,1364_pZR41_3,F0F1 ATP synthase Operon,ATP synthase subunit b,,WQ49_RS13000,K562_RS00165,43,43,(,),1364(43),Metabolic pathways,C,COG0711
