OperonID	GI	Synonym	Start	End	Strand	Length	COG_number	Product
452110	206558463	BCAL0059	72953	74350	+	465	COG4303E	ethanolamine ammonia-lyase heavy chain
452110	206558464	BCAL0060	74347	75144	+	265	COG4302E	ethanolamine ammonia-lyase small subunit
452111	206558471	BCAL0067	82260	83342	-	360	COG0859M	hypothetical protein
452111	206558472	BCAL0068	83354	85057	-	567	COG0028EH	thiamine pyrophosphate protein
452112	206558473	BCAL0069	85336	85797	+	153	-	hypothetical protein
452112	206558474	BCAL0070	85794	86078	+	94	COG3668R	plasmid stabilisation system protein
452113	206558475	BCAL0071	86236	87624	-	462	COG1760E	L-serine dehydratase I
452113	206558476	BCAL0072	87655	88797	-	380	-	hypothetical protein
452114	206558477	BCAL0073	88949	91876	-	975	COG1003E	glycine dehydrogenase
452114	206558478	BCAL0074	91935	92315	-	126	COG0509E	glycine cleavage system protein H
452114	206558479	BCAL0075	92442	93560	-	372	COG0404E	glycine cleavage system aminomethyltransferase T
452115	206558485	BCAL0081	100429	101505	-	358	COG4974L	prophage integrase
452115	206558486	BCAL0082	101373	101693	-	106	-	hypothetical protein
452116	206558487	BCAL0083	102200	104992	-	930	-	hypothetical protein
452116	206558488	BCAL0083a	104998	105255	-	85	-	hypothetical protein
452117	206558489	BCAL0084	105383	105631	-	82	-	putative phage transcriptional activator protein
452117	206558490	BCAL0084a	105619	105798	-	59	-	hypothetical protein
452117	206558491	BCAL0085	105813	106028	-	71	-	hypothetical protein
452118	206558493	BCAL0087	107182	108714	+	510	COG3344L	putative reverse transcriptase-group II intron
452118	206558494	BCAL0088	108758	109138	+	126	-	hypothetical protein
452119	206558495	BCAL0089	109326	110396	-	356	COG3500R	phage late control gene D protein
452119	206558496	BCAL0090	110393	110824	-	143	COG3499R	putative phage tail assembly protein
452119	206558497	BCAL0091	110847	113417	-	856	-	putative phage membrane protein
452119	206558498	BCAL0092	113433	113546	-	37	-	putative phage tail-associated protein
452120	206558499	BCAL0093	113555	113926	-	123	-	putative phage tail protein
452120	206558500	BCAL0094	114003	114512	-	169	COG3498R	phage major tail tube protein
452120	206558501	BCAL0095	114541	115713	-	390	COG3497R	putative phage major tail sheath protein
452121	206558502	BCAL0096	115768	116502	-	244	-	hypothetical protein
452121	206558503	BCAL0097	116518	119169	-	883	-	putative phage tail protein
452121	206558504	BCAL0098	119176	119643	-	155	COG4385R	putative phage tail protein
452121	206558505	BCAL0099	119711	120625	-	304	COG3948R	putative phage baseplate assembly protein J
452121	206558506	BCAL0100	120622	120984	-	120	COG3628R	putative phage baseplate assembly protein W
452121	206558507	BCAL0101	120981	121790	-	269	COG4540R	phage baseplate assembly protein
452122	206558509	BCAL0103	122742	123182	-	146	-	putative phage-encoded lipoprotein
452122	206558510	BCAL0104	123179	124030	-	283	COG3409M	putative phage-encoded peptidoglycan binding protein
452122	206558511	BCAL0105	124033	124299	-	88	-	putative phage membrane protein
452122	206558512	BCAL0106	124301	124645	-	114	-	putative phage membrane protein
452122	206558513	BCAL0107	124662	124868	-	68	COG5004R	phage tail protein
452123	206558516	BCAL0110	129387	130529	-	380	COG0399M	putative aminotransferase
452123	206558517	BCAL0111	130559	132901	-	780	COG3914O	putative TPR repeat protein
452124	206558518	BCAL0112	133158	133457	-	99	-	hypothetical protein
452124	206558519	BCAL0113	133483	134991	-	502	COG1345N	B-type flagellar hook-associated protein 2
452125	206558532	BCAL0126	147910	148770	+	286	COG1291N	flagellar motor protein MotA
452125	206558533	BCAL0127	148784	149803	+	339	COG1360N	flagellar motor protein MotB
452125	206558534	BCAL0128	149828	150205	+	125	COG3706T	chemotaxis two-component response regulator CheY
452125	206558535	BCAL0129	150239	152506	+	755	COG0643NT	chemotaxis two-component sensor kinase CheA
452125	206558536	BCAL0130	152554	153069	+	171	COG0835NT	chemotaxis protein CheW
452125	206558537	BCAL0131	153107	155065	+	652	COG0840NT	methyl-accepting chemotaxis protein
452125	206558538	BCAL0132	155069	156061	+	330	COG1352NT	chemotaxis protein methyltransferase
452125	206558539	BCAL0133	156058	156816	+	252	COG1871NT	chemoreceptor glutamine deamidase CheD
452125	206558540	BCAL0134	156813	157904	+	363	COG2201NT	chemotaxis-specific methylesterase
452125	206558541	BCAL0135	157972	158367	+	131	COG2204T	chemotaxis protein CheY
452125	206558542	BCAL0136	158370	159101	+	243	COG3143NT	chemotaxis regulator CheZ
452126	206558545	BCAL0140	162210	163409	+	399	COG1377NU	flagellar biosynthesis protein FlhB
452126	206558546	BCAL0141	163406	165508	+	700	COG1298NU	flagellar biosynthesis protein FlhA
452126	206558547	BCAL0142	165505	167304	+	599	COG1419N	flagellar biosynthesis regulator FlhF
452126	206558548	BCAL0143	167297	168115	+	272	COG0455D	putative flagellar biosynthesis protein
452126	206558549	BCAL0144	168141	168872	+	243	COG1191K	flagellar biosynthesis sigma factor
452127	206558551	BCAL0146	170651	171004	+	117	COG1950S	hypothetical protein
452127	206558552	BCAL0147	171035	171865	+	276	COG0685E	5,10-methylenetetrahydrofolate reductase
452128	206558553	BCAL0148	171968	173446	-	492	COG0154J	putative amidase
452128	206558554	BCAL0149	173527	174219	-	230	COG0412Q	putative dienelactone hydrolase
452129	206558561	BCAL0156	181422	181892	-	156	COG1522K	AnsC family regulatory protein
452129	206558562	BCAL0157	181972	182631	-	219	-	hypothetical protein
452129	206558563	BCAL0158	182628	183272	-	214	COG0491R	metallo-beta-lactamase superfamily protein
452130	206558567	BCAL0162	186107	186691	+	194	COG0279G	phosphoheptose isomerase
452130	206558568	BCAL0163	186688	187509	+	273	COG2823R	putative phospholipid-binding lipoprotein
452130	206558569	BCAL0164	187506	187868	+	120	COG4654C	putative cytochrome c-551
452131	206558571	BCAL0166	190294	191130	-	278	COG2801L	putative transposase
452131	206558572	BCAL0167	191130	191654	-	174	COG2963L	putative transposase
452132	206558574	BCAL0170	192918	193169	+	83	-	hypothetical protein
452132	206558575	BCAL0171	193147	193539	+	130	-	putative plasmid conjugal transfer protein
452133	206558577	BCAL0173	194371	195144	+	257	COG5314U	conjugal transfer protein TrbJ
452133	206558578	BCAL0173a	195154	195345	+	63	-	hypothetical protein
452133	206558579	BCAL0174	195365	196792	+	475	COG3846U	putative plasmid conjugal transfer protein
452133	206558580	BCAL0175	196857	197147	+	96	-	hypothetical protein
452133	206558581	BCAL0176	197138	197497	+	119	COG3093R	hypothetical protein
452133	206558582	BCAL0177	197494	197796	+	100	-	putative plasmid conjugal transfer protein
452134	206558584	BCAL0179	198900	201533	-	877	COG4997S	hypothetical protein
452134	206558585	BCAL0180	201536	202231	-	231	-	hypothetical protein
452134	206558586	BCAL0181	202239	202880	-	213	COG0537FGR	hypothetical protein
452135	206558588	BCAL0183	204567	205964	-	465	COG4948MR	putative glucarate dehydratase
452135	206558589	BCAL0184	206027	207367	-	446	COG2271G	putative glucarate transporter
452136	206558592	BCAL0187	209455	210087	+	210	COG3644S	hypothetical protein
452136	206558593	BCAL0188	210103	211440	+	445	COG3670Q	putative dioxygenase
452137	206558594	BCAL0189	211454	212620	-	388	COG4591M	putative ABC transporter permease
452137	206558595	BCAL0190	212629	213783	-	384	-	putative ABC transporter permease
452137	206558596	BCAL0191	213805	214503	-	232	COG1136V	ABC transporter ATP-binding protein
452137	206558597	BCAL0192	214509	215714	-	401	COG0845M	transporter system transport protein
452138	206558604	BCAL0198	221419	222255	-	278	COG3047M	putative outer membrane protein
452138	206558605	BCAL0199	222271	223512	-	413	-	putative lipoprotein
452139	206558617	BCAL0210	238891	239496	-	201	COG1309K	TetR family regulatory protein
452139	206558618	BCAL0211	239510	240331	-	273	-	hypothetical protein
452140	206558619	BCAL0212	240459	241547	-	362	COG1018C	putative phenylacetic acid degradation NADH oxidoreductase PaaE
452140	206558620	BCAL0213	241550	242104	-	184	COG2151R	phenylacetic acid degradation protein PaaD
452140	206558621	BCAL0214	242130	242933	-	267	COG3396S	phenylacetic acid degradation protein PaaC
452140	206558622	BCAL0215	242944	243228	-	94	COG3460Q	phenylacetate-CoA oxygenase subunit PaaB
452140	206558623	BCAL0216	243264	244262	-	332	COG3396S	phenylacetate-CoA oxygenase subunit PaaA
452141	206558627	BCAL0220	255411	255791	+	126	COG0690U	preprotein translocase subunit SecE
452141	206558628	BCAL0221	255793	256350	+	185	COG0250K	transcription antitermination protein NusG
452141	206558629	BCAL0222	256492	256923	+	143	COG0080J	50S ribosomal protein L11
452141	206558630	BCAL0223	256924	257622	+	232	COG0081J	50S ribosomal protein L1
452142	206558631	BCAL0224	257932	258429	+	165	COG0244J	50S ribosomal protein L10
452142	206558632	BCAL0225	258493	258867	+	124	COG0222J	50S ribosomal protein L7/L12
452143	206558633	BCAL0226	259249	263355	+	1368	COG0085K	DNA-directed RNA polymerase subunit beta
452143	206558634	BCAL0227	263377	267618	+	1413	COG0086K	DNA-directed RNA polymerase subunit beta'
452144	206558637	BCAL0230	270525	270995	+	156	COG0049J	30S ribosomal protein S7
452144	206558638	BCAL0231	271119	273221	+	700	COG0480J	elongation factor G
452145	206558641	BCAL0234	275232	275882	+	216	COG0087J	50S ribosomal protein L3
452145	206558642	BCAL0235a	275882	276502	+	206	COG0088J	50S ribosomal protein L4
452145	206558643	BCAL0236	276499	276813	+	104	COG0089J	50S ribosomal protein L23
452145	206558644	BCAL0237	276816	277643	+	275	COG0090J	50S ribosomal protein L2
452145	206558645	BCAL0238	277654	277929	+	91	COG0185J	30S ribosomal protein S19
452145	206558646	BCAL0239a	277942	278271	+	109	COG0091J	50S ribosomal protein L22
452145	206558647	BCAL0240	278283	279083	+	266	COG0092J	30S ribosomal protein S3
452145	206558648	BCAL0241	279086	279502	+	138	COG0197J	50S ribosomal protein L16
452145	206558649	BCAL0242	279512	279706	+	64	COG0255J	50S ribosomal protein L29
452145	206558650	BCAL0243	279703	279975	+	90	COG0186J	30S ribosomal protein S17
452146	206558651	BCAL0244	280285	280653	+	122	COG0093J	50S ribosomal protein L14
452146	206558652	BCAL0245	280663	280971	+	102	COG0198J	50S ribosomal protein L24
452146	206558653	BCAL0246	280988	281527	+	179	COG0094J	50S ribosomal protein L5
452146	206558654	BCAL0247	281535	281840	+	101	COG0199J	30S ribosomal protein S14
452146	206558655	BCAL0248	281855	282250	+	131	COG0096J	30S ribosomal protein S8
452146	206558656	BCAL0249	282269	282799	+	176	COG0097J	50S ribosomal protein L6
452146	206558657	BCAL0250	282812	283177	+	121	COG0256J	50S ribosomal protein L18
452146	206558658	BCAL0251	283192	283710	+	172	COG0098J	30S ribosomal protein S5
452146	206558659	BCAL0252	283726	283908	+	60	COG1841J	50S ribosomal protein L30
452146	206558660	BCAL0253	283935	284369	+	144	COG0200J	50S ribosomal protein L15
452146	206558661	BCAL0254	284412	285761	+	449	COG0201U	preprotein translocase subunit SecY
452146	206558662	BCAL0255	285769	285987	+	72	COG0361J	translation initiation factor IF-1
452146	206558663	BCAL0256	286008	286124	+	38	COG0257J	50S ribosomal protein L36
452147	206558664	BCAL0257	286163	286528	+	121	COG0099J	30S ribosomal protein S13
452147	206558665	BCAL0258	286557	286958	+	133	COG0100J	30S ribosomal protein S11
452148	206558666	BCAL0259	287113	287736	+	207	COG0522J	30S ribosomal protein S4
452148	206558667	BCAL0260	287861	288838	+	325	COG0202K	DNA-directed RNA polymerase subunit alpha
452149	206558669	BCAL0262	289576	289902	+	108	COG1324P	putative divalent-cation tolerance protein CutA
452149	206558670	BCAL0263	289895	291739	+	614	COG4232OC	thiol:disulfide interchange protein DsbD
452150	206558674	BCAL0267	294848	297061	+	737	COG1333O	putative cytochrome c biogenesis protein
452150	206558675	BCAL0268	297066	298256	+	396	COG0755O	putative cytochrome c biogenesis protein
452151	206558676	BCAL0269	298415	299410	+	331	COG2041R	putative sulfite oxidase subunit YedY
452151	206558677	BCAL0270	299431	300117	+	228	COG2717S	putative sulfite oxidase subunit YedZ
452152	206558681	BCAL0275	303531	304454	+	307	COG4972NU	hypothetical protein
452152	206558682	BCAL0276	304451	305095	+	214	-	putative type IV pilus assembly protein
452152	206558683	BCAL0277	305092	305958	+	288	-	hypothetical protein
452152	206558684	BCAL0278	305955	307580	+	541	COG4796U	putative type IV pilus secretin
452152	206558685	BCAL0279	307621	308175	+	184	COG0703E	shikimate kinase
452152	206558686	BCAL0280	308172	309251	+	359	COG0337E	3-dehydroquinate synthase
452152	206558687	BCAL0281	309350	310501	+	383	COG0232F	deoxyguanosinetriphosphate triphosphohydrolase-like protein
452153	206558688	BCAL0282	310590	311924	+	444	COG1653G	glycerol-3-phosphate transporter periplasmic binding protein
452153	206558689	BCAL0283	312021	312905	+	294	COG1175G	putative ABC transporter permease
452153	206558690	BCAL0284	312902	313747	+	281	COG0395G	glycerol-3-phosphate transporter membrane protein
452153	206558691	BCAL0285	313779	314864	+	361	COG3839G	glycerol-3-phosphate transporter ATP-binding subunit
452153	206558692	BCAL0286	314891	315661	+	256	COG0584C	cytoplasmic glycerophosphodiester phosphodiesterase
452154	206558697	BCAL0291	324402	325892	+	496	COG1115E	sodium:amino acid symporter family protein
452154	206558698	BCAL0292	325889	326455	+	188	COG1514J	2',5' RNA ligase family protein
452155	206558699	BCAL0293	326488	327771	-	427	COG0665E	putative D-amino acid dehydrogenase subunit
452155	206558700	BCAL0294	327797	329059	-	420	COG2814G	major facilitator superfamily protein
452156	206558701	BCAL0295	329188	329964	-	258	COG0623I	putative dehydrogenase/reductase
452156	206558702	BCAL0296	329961	331730	-	589	COG4178R	ABC transporter ATP-binding membrane protein
452157	206558703	BCAL0297	332350	333486	+	378	COG0665E	putative thiamine biosynthesis oxidoreductase ThiO
452157	206558704	BCAL0298	333519	333716	+	65	COG2104H	sulfur carrier protein ThiS
452157	206558705	BCAL0299	333755	334570	+	271	COG2022H	thiazole synthase
452157	206558706	BCAL0300	334567	335691	+	374	COG0352H	thiamine-phosphate pyrophosphorylase
452158	206558707	BCAL0301	335776	336597	+	273	COG1127Q	ABC transporter ATP-binding protein
452158	206558708	BCAL0302	336594	337361	+	255	COG0767Q	hypothetical protein
452158	206558709	BCAL0303	337386	337946	+	186	COG1463Q	hypothetical protein
452158	206558710	BCAL0304	337972	338940	+	322	COG2853M	VacJ-like lipoprotein
452158	206558711	BCAL0305	339052	339681	+	209	COG2854Q	hypothetical protein
452158	206558712	BCAL0306	339678	339953	+	91	COG3113R	hypothetical protein
452159	206558713	BCAL0307	340146	341072	+	308	COG1131V	ABC transporter ATP-binding protein
452159	206558714	BCAL0308	341069	341890	+	273	COG1682GM	ABC transporter membrane protein
452160	206558715	BCAL0309	341944	342183	+	79	COG5007K	BolA-like protein
452160	206558716	BCAL0310	342198	343547	+	449	COG0766M	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
452160	206558717	BCAL0311	343544	344197	+	217	COG0040E	ATP phosphoribosyltransferase catalytic subunit
452160	206558718	BCAL0312	344222	345538	+	438	COG0141E	histidinol dehydrogenase
452161	206558719	BCAL0313	345637	346710	+	357	COG0079E	histidinol-phosphate aminotransferase
452161	206558720	BCAL0314	346776	347363	+	195	COG0131E	imidazoleglycerol-phosphate dehydratase
452161	206558721	BCAL0315	347425	348045	+	206	COG2095U	MarC-family integral membrane protein
452161	206558722	BCAL0316	348042	348683	+	213	COG0118E	imidazole glycerol phosphate synthase subunit HisH
452162	206558723	BCAL0317	348847	349602	+	251	COG0106E	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
452162	206558724	BCAL0318	349709	350482	+	257	COG0107E	imidazole glycerol phosphate synthase subunit HisF
452162	206558725	BCAL0319	350482	350898	+	138	COG0139E	phosphoribosyl-AMP cyclohydrolase
452162	206558726	BCAL0320	350895	351260	+	121	COG0140E	phosphoribosyl-ATP pyrophosphatase
452162	206558727	BCAL0321	351331	351723	+	130	COG3671S	hypothetical protein
452162	206558728	BCAL0322	351755	352120	+	121	COG0537FGR	hypothetical protein
452163	206558729	BCAL0323	352214	352444	+	76	COG1826U	twin arginine translocase protein A
452163	206558730	BCAL0324	352471	353010	+	179	COG1826U	sec-independent translocase
452163	206558731	BCAL0325	353052	353840	+	262	COG0805U	Sec-independent protein translocase protein TatC
452164	206558734	BCAL0328	356242	356862	+	206	COG0723C	ubiquinol-cytochrome c reductase iron-sulfur subunit
452164	206558735	BCAL0329	356862	358244	+	460	COG1290C	cytochrome b
452164	206558736	BCAL0330	358266	359024	+	252	COG2857C	cytochrome c1
452165	206558737	BCAL0331	359119	359730	+	203	COG0625O	putative stringent starvation protein A
452165	206558738	BCAL0332	359799	360323	+	174	COG2969R	ClpXP protease specificity-enhancing factor
452166	206558743	BCAL0337	363015	363797	-	260	COG3455S	putative type VI secretion system protein TssL
452166	206558744	BCAL0338	363794	365140	-	448	COG3522S	putative type VI secretion system protein TssK
452167	206558746	BCAL0340	366232	366858	+	208	-	putative lipoprotein
452167	206558747	BCAL0341	366905	367420	+	171	COG3516S	putative type VI secretion system protein TssB
452167	206558748	BCAL0342	367436	368926	+	496	COG3517S	putative type VI secretion system protein TssC
452167	206558749	BCAL0343	368997	369500	+	167	COG3157S	putative type VI secretion system protein TssD
452167	206558750	BCAL0344	369563	370048	+	161	COG3518S	putative type VI secretion system protein TssE
452168	206558751	BCAL0345	370125	371960	+	611	COG3519S	putative type VI secretion system protein TssF
452168	206558752	BCAL0346	371924	373024	+	366	COG3520S	putative type VI secretion system protein TssG
452168	206558753	BCAL0347	373066	375735	+	889	COG0542O	putative type VI secretion system protein TssH
452168	206558754	BCAL0348	375780	376901	+	373	COG3515S	putative type VI secretion system protein TssA
452169	206558755	BCAL0349	376995	377945	-	316	COG2885M	putative outer membrane protein
452169	206558756	BCAL0350	377950	378939	-	329	COG3913S	hypothetical protein
452169	206558757	BCAL0351	378936	382880	-	1314	COG3523S	putative type VI secretion system protein TssM
452170	206558766	BCAL0361	392698	393831	+	377	COG2890J	putative methyltransferase
452170	206558767	BCAL0362	393921	394811	+	296	-	hypothetical protein
452171	206558768	BCAL0363	394872	395444	-	190	COG3310S	hypothetical protein
452171	206558769	BCAL0364	395521	396141	-	206	COG1309K	TetR family regulatory protein
452172	206558776	BCAL0371	403275	403871	-	198	COG0163H	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
452172	206558777	BCAL0372	403896	404207	-	103	COG0278O	putative glutaredoxin
452172	206558778	BCAL0373	404275	405117	-	280	COG2890J	protein methyltransferase HemK
452172	206558779	BCAL0374	405125	406207	-	360	COG0216J	peptide chain release factor 1
452172	206558780	BCAL0375	406300	407598	-	432	COG0373H	glutamyl-tRNA reductase
452173	206558782	BCAL0376a	408561	408815	+	84	-	hypothetical protein
452173	206558783	BCAL0377	408834	410648	+	604	COG0006E	subfamily M24B metalopeptidase
452174	206558784	BCAL0378	410746	411297	+	183	COG1335Q	putative hydrolase
452174	206558785	BCAL0379	411294	411917	+	207	COG1011R	putative hydrolase
452175	206558787	BCAL0381	413894	414202	-	102	-	putative lipoprotein
452175	206558788	BCAL0382	414292	415209	-	305	COG0583K	LysR family regulatory protein
452176	206558794	BCAL0388	421748	422926	+	392	COG0654HC	ubiquinone biosynthesis hydroxylase family protein
452176	206558795	BCAL0389	423017	423745	+	242	COG1651O	thiol:disulfide interchange protein DsbC
452176	206558796	BCAL0390	423851	425650	+	599	COG3975R	family M61 metalopeptidase
452177	206558798	BCAL0392	426509	427033	+	174	COG2963L	putative transposase
452177	206558799	BCAL0393	427033	427869	+	278	COG2801L	putative transposase
452178	206558801	BCAL0395	428894	429520	-	208	COG3025S	putative adenylate cyclase
452178	206558802	BCAL0396	429520	430305	-	261	COG0134E	indole-3-glycerol-phosphate synthase
452178	206558803	BCAL0397	430334	431365	-	343	COG0547E	anthranilate phosphoribosyltransferase
452178	206558804	BCAL0398	431379	431978	-	199	COG0512EH	anthranilate synthase component II
452178	206558805	BCAL0399	431992	433485	-	497	COG0147EH	anthranilate synthase component I
452179	206558806	BCAL0400	433843	434607	-	254	COG0546R	putative phosphoglycolate phosphatase
452179	206558807	BCAL0401	434612	435298	-	228	COG0036G	ribulose-phosphate 3-epimerase
452180	206558810	BCAL0404	437425	438723	-	432	COG1541H	phenylacetate-coenzyme A ligase
452180	206558811	BCAL0405	438762	439214	-	150	COG2050Q	phenylacetic acid degradation protein PaaI
452180	206558812	BCAL0406	439216	440007	-	263	COG1024I	enoyl-CoA hydratase
452180	206558813	BCAL0407	440053	441255	-	400	COG0183I	beta-ketoadipyl CoA thiolase
452181	206558821	BCAL0419	458867	459997	+	376	-	hypothetical protein
452181	206558822	BCAL0420	459990	463085	+	1031	COG0610V	type I restriction component of type I restriction-modification system
452182	206558826	BCAL0423a	469297	469431	+	44	-	50S ribosomal protein L34
452182	206558827	BCAL0424	469447	469908	+	153	COG0594J	ribonuclease P protein component
452182	206558828	BCAL0425	469984	470250	+	88	COG0759S	hypothetical protein
452182	206558829	BCAL0426	470259	471917	+	552	COG0706U	putative inner membrane protein translocase component YidC
452183	206558839	BCAL0437	479782	480873	+	363	COG2169F	O6-methylguanine-DNA methyltransferase
452183	206558840	BCAL0438	480870	481829	+	319	COG0122L	putative DNA-3-methyladenine glycosylase II
452184	206558847	BCAL0445	490830	492218	-	462	COG0665E	putative oxidoreductase
452184	206558848	BCAL0446	492314	493444	-	376	COG0075E	2-aminoethylphosphonate--pyruvate transaminase
452184	206558849	BCAL0447	493492	495219	-	575	COG1178P	binding-protein-dependent transport system inner membrane protein
452184	206558850	BCAL0448	495216	496298	-	360	COG3842E	ABC transporter ATP-binding protein
452185	206558852	BCAL0450	497652	498899	+	415	COG1524R	putative phosphonoacetate hydrolase
452185	206558853	BCAL0451	498929	500383	+	484	COG1012C	putative NADP-dependent glyceraldehyde-3-phosphate dehydrogenase
452186	206558854	BCAL0452	500563	501345	+	260	COG0834ET	periplasmic solute-binding protein
452186	206558855	BCAL0453	501360	502040	+	226	COG0765E	putative amino acid ABC transporter permease
452186	206558856	BCAL0454	502037	502795	+	252	COG1126E	putative amino acid ABC transporter ATP-binding protein
452187	206558860	BCAL0458	505873	506277	+	134	COG2050Q	thioesterase superfamily protein
452187	206558861	BCAL0459	506286	507152	+	288	COG1752R	putative patatin-like phospholipase
452188	206558865	BCAL0463	512613	512993	-	126	-	putative thioredoxin
452188	206558866	BCAL0464	513030	514343	-	437	COG0758LU	SMF family protein
452189	206558867	BCAL0465	514529	515032	+	167	COG0242J	peptide deformylase
452189	206558868	BCAL0466	515067	516059	+	330	COG0223J	methionyl-tRNA formyltransferase
452190	206558872	BCAL0470	519387	519977	+	196	-	hypothetical protein
452190	206558873	BCAL0471	520018	522381	+	787	COG5000T	two-component regulatory system, sensor kinase protein
452190	206558874	BCAL0472	522382	523083	+	233	COG2204T	two-component regulatory system, response regulator protein
452191	206558875	BCAL0473	523571	524305	+	244	COG0603R	putative putative transcriptional regulator
452191	206558876	BCAL0474	524381	525013	+	210	COG0602O	hypothetical protein
452191	206558877	BCAL0475	525032	525484	+	150	COG0720H	putative 6-pyruvoyl tetrahydropterin synthase
452192	206558878	BCAL0476	525811	526596	+	261	COG3836G	HpcH/HpaI aldolase/citrate lyase family protein
452192	206558879	BCAL0477	526593	527345	+	250	COG0790R	hypothetical protein
452193	206558880	BCAL0478	527424	528572	-	382	COG0772D	rod shape-determining protein
452193	206558881	BCAL0479	528584	530716	-	710	COG0768M	penicillin-binding protein
452194	206558882	BCAL0480	530818	531330	-	170	COG2891M	putative rod shape-determining protein
452194	206558883	BCAL0481	531327	532391	-	354	COG1792M	rod shape-determining protein MreC
452195	206558885	BCAL0483	533941	534240	+	99	COG0721J	aspartyl/glutamyl-tRNA amidotransferase subunit C
452195	206558886	BCAL0484	534310	535800	+	496	COG0154J	aspartyl/glutamyl-tRNA amidotransferase subunit A
452195	206558887	BCAL0485	535805	537280	+	491	COG0064J	aspartyl/glutamyl-tRNA amidotransferase subunit B
452195	206558888	BCAL0486	537399	538238	+	279	COG2326S	putative polyphosphate kinase
452195	206558889	BCAL0487	538279	539052	+	257	COG0708L	endonuclease/exonuclease/phosphatase family protein
452196	206558892	BCAL0490	541406	542446	-	346	COG4784R	peptidase, family M48
452196	206558893	BCAL0491	542436	543857	-	473	-	major facilitator superfamily protein
452197	206558894	BCAL0492	543974	544582	-	202	COG2226H	methionine biosynthesis protein MetW
452197	206558895	BCAL0493	544579	545724	-	381	COG2021E	homoserine O-acetyltransferase
452198	206558896	BCAL0494	545991	546656	-	221	COG1309K	nucleoid occlusion protein
452198	206558897	BCAL0495	546623	547414	-	263	COG1011R	haloacid dehalogenase-like hydrolase
452198	206558898	BCAL0496	547411	548310	-	299	COG0548E	acetylglutamate kinase
