sgRNA,Locus_tag,Gene,Gene2,Old_locus_tag,KEGG,COG,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,drug,Mean,Z_scores
1442,WQ49_RS27525,dnaE,dnaE,BCAL2409,DNA Replication,"Replication, recombination and repair",768.4067136,-0.400794868,0.11422532,-3.508809322,0.000450117,0.00730779,C109,,-3.151599624
1443,WQ49_RS06135,cblA,cblA,BCAM2095,Others,Transcription,64.75381709,-0.016834081,0.253810354,-0.066325429,0.947118738,1,C109,,0.094433939
1444,WQ49_RS28880,cysS,cysS,BCAL2150,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",877.2874212,-0.271720353,0.107128252,-2.53640238,0.011199796,0.085865105,C109,,-2.155528134
1445,WQ49_RS00060,murC,murC (ftsZ),BCAL3467,Lysine biosynthesis,Cell wall/membrane/envelope biogenesis,17479.27737,-9.650442739,0.297093812,-32.48281298,1.86E-231,1.03E-228,C109,,-32.34547457
1446,0,BCAL1661,BCAL1661,BCAL1661,Others,Carbohydrate transport and metabolism,571.4467198,0.106662879,0.11061677,0.964255955,0.334917617,0.674724542,C109,,1.333118581
1447,WQ49_RS24690,lipA,lipA,BCAL0709,lipoate biosynthesis and incorporation (yeast),Coenzyme transport and metabolism,560.1082482,0.167632851,0.108189979,1.549430475,0.121278273,0.356093652,C109,,1.926566993
1448,WQ49_RS32320,pheS,pheS,BCAL1485,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",553.7717306,-0.500156206,0.114805707,-4.356544792,1.32E-05,0.000383877,C109,,-4.001140927
1449,WQ49_RS25535,aspS,aspS,BCAL0880,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",813.5309607,-0.489228188,0.107721736,-4.541592147,5.58E-06,0.000256822,C109,,-4.162816295
1450,WQ49_RS23690,diaminopimelate epimerase,diaminopimelate epimerase,BCAL0507,Biosynthesis of amino acids,Amino acid transport and metabolism,546.6824517,0.25317785,0.106517905,2.376857203,0.017460846,0.119415228,C109,,2.759913856
1451,WQ49_RS00230,proS,proS,BCAL3436,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",1085.199716,-0.487639744,0.100602905,-4.847173604,1.25E-06,6.91E-05,C109,,-4.441594935
1452,WQ49_RS28790,BCAL2169,BCAL2169,BCAL2169,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",655.5812808,-0.506551578,0.113829764,-4.450080183,8.58E-06,0.000338448,C109,,-4.091629189
1453,WQ49_RS30025,BCAL1935,BCAL1935,BCAL1935,Others,Carbohydrate transport and metabolism,566.9631858,0.124898974,0.105766683,1.180891469,0.237645841,0.557067619,C109,,1.566668832
1454,WQ49_RS28890,BCAL2148,BCAL2148,BCAL2148,Biosynthesis of antibiotics,Lipid transport and metabolism,1189.372074,-0.436782838,0.101004133,-4.324405598,1.53E-05,0.000422125,C109,,-3.920438048
1455,WQ49_RS29880,BCAL1964,BCAL1964,BCAL1964,Metabolic pathways,Nucleotide transport and metabolism,477.5202159,-0.091176968,0.11609319,-0.785377405,0.432232324,0.743278016,C109,,-0.433914995
1456,WQ49_RS23460,BCAL0462,BCAL0462,BCAL0462,DNA Replication,"Replication, recombination and repair",542.847812,-0.159912199,0.116453798,-1.373181484,0.169695934,0.448944705,C109,,-1.022807405
1457,WQ49_RS29240,dxr,dxr,BCAL2089,Metabolic pathways,Nucleotide transport and metabolism,687.7693271,-0.323782657,0.122104251,-2.651690302,0.008008997,0.065984569,C109,,-2.317530008
1458,WQ49_RS00210,proB,proB,BCAL3440,Ribosome biogenesis biogenesis,General function prediction only,420.0164733,0.05561286,0.13749251,0.404479198,0.685860372,0.932379214,C109,,0.701240034
1459,WQ49_RS02145,hemL,hemL,BCAL3050,Metabolic pathways,Coenzyme transport and metabolism,147.3326929,0.044094245,0.184553595,0.238923792,0.811164676,0.967911103,C109,,0.460010747
1460,WQ49_RS32415,aroC,aroC,BCAL1467,Biosynthesis of amino acids,Amino acid transport and metabolism,946.4146416,-0.043165494,0.089230255,-0.483754015,0.628560454,0.898874017,C109,,-0.026483192
1462,WQ49_RS02220,trxB,trxB,BCAL3035,Pyrimidine metabolism,"Posttranslational modification, protein turnover, chaperones",691.2537309,-0.066705374,0.10226783,-0.652261556,0.514232456,0.79535218,C109,,-0.253285728
1463,WQ49_RS30170,BCAL1906,BCAL1906,BCAL1906,Others,Cell wall/membrane/envelope biogenesis,100.7277219,-0.314971906,0.198995334,-1.582810511,0.11346466,0.344161635,C109,,-1.377768557
1464,WQ49_RS30025,BCAL1935,BCAL1935,BCAL1935,Others,Carbohydrate transport and metabolism,735.9128259,-0.463418542,0.117790665,-3.934255238,8.35E-05,0.001919466,C109,,-3.587857736
1465,WQ49_RS23575,gatB,gatB,BCAL0484,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",547.0579866,-0.197882836,0.115495668,-1.713335574,0.086650821,0.312622571,C109,,-1.360054858
1466,WQ49_RS24210,glmU,glmU,BCAL0612,Amino sugar and nucleotide sugar metabolism,Cell wall/membrane/envelope biogenesis,332.0586283,-0.222057467,0.1281743,-1.732464823,0.083190835,0.306763273,C109,,-1.414129618
1467,WQ49_RS00690,tyrZ,tyrZ,BCAL3344,Aminoacyl-tRNA biosynthesis,"Translation, ribosomal structure and biogenesis",386.2224892,-0.070639181,0.128217831,-0.550931027,0.581680957,0.851692012,C109,,-0.232703899
1468,WQ49_RS29370,guaB,guaB,BCAL2063,adenosine nucleotides degradation I,Nucleotide transport and metabolism,334.8951859,-0.375308713,0.131873505,-2.845975103,0.004427566,0.041424004,C109,,-2.53656957
1469,WQ49_RS34830,thyA,thyA,BCAL2912,folate transformations II,Nucleotide transport and metabolism,357.7018269,0.203673387,0.148220159,1.374127436,0.169402123,0.448944705,C109,,1.649409775
1470,WQ49_RS29240,pyrH,pyrH,BCAL2089,Metabolic pathways,Nucleotide transport and metabolism,0.068823878,1.646960982,5.757653093,0.286047276,0.774841913,0.954715928,C109,,0.293133912
1471,WQ49_RS23545,rodA,rodA,BCAL0478,Peptidoglycan biosynthesis,"Cell cycle control, cell division, chromosome partitioning",738.151441,-0.068204798,0.1195466,-0.570528961,0.568318985,0.841051153,C109,,-0.229219446
1473,WQ49_RS00120,WQ49_RS00120,WQ49_RS00120,BCAL3455,Lipopolysaccharide biosynthesis,Cell wall/membrane/envelope biogenesis,1331.289718,0.225546934,0.089847986,2.510317072,0.01206228,0.089978088,C109,,2.964444025
1474,WQ49_RS00125,WQ49_RS00125,WQ49_RS00125,BCAL3454,Others,#N/A,581.7904098,0.001173699,0.109590805,0.010709829,0.991454956,1,C109,,0.383025665
1475,WQ49_RS00130,WQ49_RS00130,WQ49_RS00130,BCAL3453,Bacterial secretion system,"Intracellular trafficking, secretion, and vesicular transport",755.3137859,-0.173082889,0.113010629,-1.531562914,0.12563033,0.36498917,C109,,-1.170513759
1476,WQ49_RS00160,WQ49_RS00160,WQ49_RS00160,BCAL3448,coenzyme A biosynthesis II (eukaryotic),Coenzyme transport and metabolism,562.8120317,-0.032671925,0.110884086,-0.294649358,0.768261753,0.951772953,C109,,0.073324024
1477,WQ49_RS00190,WQ49_RS00190,WQ49_RS00190,BCAL3443,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,1369.933264,-0.209675537,0.09240914,-2.268991334,0.023268853,0.144319177,C109,,-1.827450679
1478,WQ49_RS00200,WQ49_RS00200,WQ49_RS00200,BCAL3442,Ribosome biogenesis biogenesis,"Translation, ribosomal structure and biogenesis",704.7999977,-0.012357531,0.104954703,-0.117741564,0.906272433,1,C109,,0.271020358
1479,WQ49_RS00210,WQ49_RS00210,WQ49_RS00210,BCAL3440,Ribosome biogenesis biogenesis,General function prediction only,0.055253319,-1.307550631,5.76655561,-0.226747251,0.820620283,0.967911103,C109,,-0.219671555
1480,WQ49_RS00245,WQ49_RS00245,WQ49_RS00245,BCAL3433,Bacterial secretion system,"Intracellular trafficking, secretion, and vesicular transport",184.9576504,-0.034035643,0.157823554,-0.215656293,0.829255672,0.970466061,C109,,0.042875409
1481,WQ49_RS00265,WQ49_RS00265,WQ49_RS00265,BCAL3429,adenosine deoxyribonucleotides de novo biosynthesis,Nucleotide transport and metabolism,731.0257166,-0.37639996,0.126662793,-2.971669508,0.002961853,0.029726236,C109,,-2.649535508
1482,WQ49_RS00305,WQ49_RS00305,WQ49_RS00305,BCAL3421,Fatty acid biosynthesis,Lipid transport and metabolism,480.5864755,-0.152661625,0.133594234,-1.142726152,0.253152308,0.572060382,C109,,-0.837305844
1483,WQ49_RS00345,WQ49_RS00345,WQ49_RS00345,BCAL3413,Biosynthesis of amino acids,Amino acid transport and metabolism,2207.425635,-0.024940465,0.079943222,-0.311977234,0.755057825,0.951579725,C109,,0.198414907
1484,WQ49_RS00430,WQ49_RS00430,WQ49_RS00430,BCAL3396,Metabolic pathways,Coenzyme transport and metabolism,1003.646587,-0.308244947,0.103492652,-2.978423512,0.002897353,0.029726236,C109,,-2.58416951
1485,WQ49_RS00465,WQ49_RS00465,WQ49_RS00465,BCAL3389,Biosynthesis of amino acids,Carbohydrate transport and metabolism,1.313416901,1.702731542,2.039163233,0.835014831,0.403709358,0.730647756,C109,,0.855024211
1486,WQ49_RS00565,WQ49_RS00565,WQ49_RS00565,BCAL3369,Biosynthesis of secondary metabolites/cofactors,Function unknown,1202.476684,0.197008298,0.092239877,2.13582569,0.032693624,0.174961561,C109,,2.578176588
1487,WQ49_RS00580,WQ49_RS00580,WQ49_RS00580,BCAL3366,"3,6-anhydro-&alpha;-L-galactopyranose degradation",Carbohydrate transport and metabolism,2656.170547,-0.009217886,0.081986115,-0.112432286,0.910480657,1,C109,,0.385242134
1488,WQ49_RS00605,WQ49_RS00605,WQ49_RS00605,BCAL3361,adenosine ribonucleotides <i>de novo</i> biosynthesis,Nucleotide transport and metabolism,2732.190537,-0.172639753,0.091323013,-1.890429887,0.058700489,0.241810971,C109,,-1.443637881
1506,WQ49_RS27295,parC,parC,BCAL2455,Others,"Replication, recombination and repair",501.7776289,-0.176517968,0.111474276,-1.583486108,0.113310711,0.344161635,C109,,-1.217460926
1507,WQ49_RS11660,hemA,hemA,BCAL0375,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,1482.361798,0.238642535,0.112729643,2.116945721,0.034264455,0.178433764,C109,,2.478894815
1508,WQ49_RS11660,hemA,hemA,BCAL0375,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,1122.546064,0.245971541,0.082286472,2.989209943,0.002796999,0.029691217,C109,,3.485067779
1509,0,BCAL3292,BCAL3292,BCAL3292,Others,Amino acid transport and metabolism,1063.809858,-0.108171953,0.095018333,-1.138432444,0.254939953,0.572060382,C109,,-0.709016445
1510,0,BCAL3292,BCAL3292,BCAL3292,Others,Amino acid transport and metabolism,1.328626406,0.108568048,1.803468845,0.06019957,0.951996688,1,C109,,0.082823965
1511,WQ49_RS27050,hemC,hemC,BCAL2630,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,607.8121984,0.241252816,0.123771013,1.949186732,0.051273129,0.219401296,C109,,2.278847056
1513,WQ49_RS12210,hemB,hemB,BCAL0264,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,0.598273566,0.158802109,2.697154747,0.058877641,0.953049567,1,C109,,0.07400558
1514,WQ49_RS25500,ubiE,ubiE,BCAL0873,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,649.987981,-0.188652042,0.109053376,-1.729905555,0.083647151,0.306763273,C109,,-1.355754901
1515,WQ49_RS25500,ubiE,ubiE,BCAL0873,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,630.7790279,0.118642264,0.110639925,1.072327772,0.283572837,0.606713977,C109,,1.4411132
1516,WQ49_RS12260,secY,secY,BCAL0254,Bacterial secretion system,"Intracellular trafficking, secretion, and vesicular transport",412.2374776,-0.363953308,0.122301416,-2.975871574,0.002921572,0.029726236,C109,,-2.64224999
1517,WQ49_RS12265,secY,secY,BCAL0253,Ribosome biogenesis,"Translation, ribosomal structure and biogenesis",920.7433461,-0.544073231,0.103328147,-5.265489083,1.40E-07,8.58E-06,C109,,-4.870607405
1518,WQ49_RS31415,BCAL1661,BCAL1661,BCAL1661,Others,Carbohydrate transport and metabolism,586.0476995,-0.095983272,0.115666181,-0.829830036,0.406634886,0.733537442,C109,,-0.477070123
1519,WQ49_RS31415,BCAL1661,BCAL1661,BCAL1661,Others,Carbohydrate transport and metabolism,183.0681558,-0.369741543,0.149951591,-2.465739378,0.013673078,0.098019987,C109,,-2.193635615
1520,WQ49_RS24690,lipA,lipA,BCAL0709,lipoate biosynthesis and incorporation (yeast),Coenzyme transport and metabolism,675.1614804,-0.001899143,0.098910506,-0.019200622,0.984681062,1,C109,,0.393317661
1521,WQ49_RS23690,diaminopimelate epimerase,diaminopimelate epimerase,BCAL0507,Biosynthesis of amino acids,Amino acid transport and metabolism,345.3610598,0.26931081,0.133982164,2.010049704,0.044425929,0.204359271,C109,,2.314585702
1522,WQ49_RS31555,BCAL1635,BCAL1635,BCAL1635,Others,Signal transduction mechanisms,788.5618473,0.080574882,0.098375869,0.819051278,0.412757158,0.735658832,C109,,1.233811446
1523,WQ49_RS31555,BCAL1635,BCAL1635,BCAL1635,Others,Signal transduction mechanisms,678.9078039,0.040869903,0.128140078,0.318947075,0.749766646,0.951579725,C109,,0.637367299
1524,WQ49_RS29885,BCAL1963,BCAL1963,BCAL1963,DNA Replication,"Replication, recombination and repair",1194.826251,-0.073531532,0.094943424,-0.774477353,0.438648556,0.747212891,C109,,-0.344722554
1526,WQ49_RS00215,proB,proB,BCAL3439,Arginine and proline metabolism,Amino acid transport and metabolism,359.1957126,0.03596647,0.131480398,0.273550052,0.784430423,0.96042261,C109,,0.583880661
1527,WQ49_RS02145,hemL,hemL,BCAL3050,Metabolic pathways,Coenzyme transport and metabolism,613.0357384,-0.078405784,0.104045386,-0.753572909,0.451105717,0.754576836,C109,,-0.361413355
1528,WQ49_RS02150,hemL,hemL,BCAL3049,Biosynthesis of secondary metabolites,Coenzyme transport and metabolism,101.842355,-0.324903642,0.200265859,-1.622361614,0.104725943,0.343339783,C109,,-1.418620486
1529,WQ49_RS32415,aroC,aroC,BCAL1467,Biosynthesis of amino acids,Amino acid transport and metabolism,119.2782667,-0.124657581,0.190047562,-0.655928337,0.511870234,0.79535218,C109,,-0.441232648
